k,ndcg,map,precision,pairwise_accuracy
1,0.6069616044616045,0.5837837837837838,0.5837837837837838,0.6235716790325428
2,0.5698103436598952,0.4783783783783784,0.4891891891891892,0.6235716790325428
3,0.5633365313793584,0.43018018018018017,0.4495495495495495,0.6235716790325428
4,0.5498586616302269,0.3934872372372372,0.40135135135135136,0.6235716790325428
5,0.5410935772766122,0.3767394894894895,0.3681081081081082,0.6235716790325428
6,0.5354286656724826,0.36325900900900904,0.33783783783783783,0.6235716790325428
7,0.5326572502751157,0.3580262762762763,0.3158301158301158,0.6235716790325428
8,0.5300770062020367,0.35502250720107864,0.29473938223938223,0.6235716790325428
9,0.5299688952734405,0.3556855363016077,0.27904869154869155,0.6235716790325428
10,0.531445620547416,0.3561935204762586,0.26271235521235525,0.6235716790325428
