target_id,target,pos,substitute,gold_score,label,is_single_word,substitute_length
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,all,0.0,0,1,3
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,entirety,0.0,0,1,8
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,quantum,0.1,0,1,7
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,whole,0.3,0,1,5
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,sum total,0.6,1,0,9
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,bulk,0.0,0,1,4
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,figure,0.5,1,1,6
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,amount,0.8,1,1,6
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,flat out,0.0,0,0,8
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,final,0.0,0,1,5
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,price,0.6,1,1,5
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,aggregate,0.1,0,1,9
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,number,0.3,0,1,6
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,body,0.0,0,1,4
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,jackpot,0.0,0,1,7
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,full amount,0.4,0,0,11
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,bill,0.1,0,1,4
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,tale,0.0,0,1,4
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,cost,0.5,1,1,4
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,balance,0.6,1,1,7
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,totality,0.0,0,1,8
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,sum,0.8,1,1,3
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,total,NOUN,worth,0.0,0,1,5
